Filename,Date
deleted_items_273%2E,20-12-2001 13.52
deleted_items_272%2E,20-12-2001 15.55
deleted_items_271%2E,20-12-2001 16.37
deleted_items_270%2E,21-12-2001 16.24
deleted_items_269%2E,25-12-2001 16.42
deleted_items_268%2E,27-12-2001 15.37
deleted_items_267%2E,28-12-2001 12.15
deleted_items_265%2E,28-12-2001 13.17
deleted_items_266%2E,28-12-2001 14.00
deleted_items_264%2E,31-12-2001 11.52
deleted_items_263%2E,31-12-2001 15.40
deleted_items_262%2E,02-01-2002 8.21
deleted_items_261%2E,02-01-2002 14.01
deleted_items_260%2E,02-01-2002 14.04
deleted_items_259%2E,02-01-2002 14.57
deleted_items_258%2E,02-01-2002 16.05
deleted_items_257%2E,03-01-2002 1.52
deleted_items_256%2E,03-01-2002 8.27
deleted_items_255%2E,03-01-2002 9.49
deleted_items_254%2E,03-01-2002 13.27
deleted_items_253%2E,03-01-2002 14.51
deleted_items_252%2E,03-01-2002 15.35
deleted_items_251%2E,03-01-2002 16.32
deleted_items_250%2E,04-01-2002 9.19
deleted_items_249%2E,04-01-2002 9.44
deleted_items_247%2E,04-01-2002 14.34
deleted_items_246%2E,04-01-2002 14.45
deleted_items_245%2E,04-01-2002 14.49
deleted_items_244%2E,04-01-2002 16.25
deleted_items_241%2E,06-01-2002 15.59
deleted_items_243%2E,07-01-2002 12.38
deleted_items_242%2E,07-01-2002 15.25
sent_items_87%2E,08-01-2002 9.39
deleted_items_240%2E,08-01-2002 9.40
sent_items_86%2E,08-01-2002 9.45
sent_items_85%2E,08-01-2002 9.47
sent_items_84%2E,08-01-2002 9.51
deleted_items_239%2E,08-01-2002 10.14
deleted_items_238%2E,08-01-2002 13.10
deleted_items_237%2E,08-01-2002 15.26
deleted_items_236%2E,09-01-2002 7.54
deleted_items_235%2E,09-01-2002 8.25
deleted_items_234%2E,09-01-2002 8.29
deleted_items_233%2E,09-01-2002 9.54
deleted_items_232%2E,10-01-2002 8.45
deleted_items_230%2E,10-01-2002 14.19
inbox_15%2E,10-01-2002 14.23
deleted_items_229%2E,10-01-2002 14.47
deleted_items_228%2E,11-01-2002 6.40
deleted_items_227%2E,11-01-2002 9.11
deleted_items_226%2E,11-01-2002 10.09
deleted_items_225%2E,11-01-2002 10.39
deleted_items_224%2E,11-01-2002 11.31
deleted_items_223%2E,11-01-2002 11.41
deleted_items_222%2E,12-01-2002 22.33
deleted_items_221%2E,14-01-2002 8.09
deleted_items_219%2E,14-01-2002 13.48
deleted_items_218%2E,14-01-2002 14.02
deleted_items_217%2E,14-01-2002 15.12
sent_items_83%2E,15-01-2002 10.21
sent_items_82%2E,15-01-2002 10.23
deleted_items_216%2E,15-01-2002 10.29
deleted_items_215%2E,15-01-2002 17.12
deleted_items_214%2E,15-01-2002 22.44
deleted_items_213%2E,16-01-2002 2.47
deleted_items_211%2E,16-01-2002 5.29
deleted_items_212%2E,16-01-2002 6.45
deleted_items_209%2E,16-01-2002 9.29
deleted_items_208%2E,16-01-2002 10.38
deleted_items_207%2E,16-01-2002 14.46
deleted_items_206%2E,16-01-2002 16.15
deleted_items_210%2E,16-01-2002 17.06
deleted_items_205%2E,17-01-2002 3.03
deleted_items_198%2E,17-01-2002 14.35
deleted_items_204%2E,17-01-2002 21.03
deleted_items_201%2E,17-01-2002 21.03
deleted_items_202%2E,17-01-2002 21.05
deleted_items_203%2E,17-01-2002 21.06
deleted_items_200%2E,17-01-2002 21.06
deleted_items_199%2E,17-01-2002 21.06
deleted_items_197%2E,18-01-2002 1.05
deleted_items_196%2E,18-01-2002 12.17
deleted_items_195%2E,18-01-2002 13.30
deleted_items_194%2E,19-01-2002 1.06
deleted_items_193%2E,19-01-2002 1.06
deleted_items_192%2E,19-01-2002 1.06
deleted_items_189%2E,19-01-2002 1.06
deleted_items_191%2E,19-01-2002 1.06
deleted_items_190%2E,19-01-2002 1.06
deleted_items_188%2E,19-01-2002 1.06
deleted_items_187%2E,19-01-2002 3.29
deleted_items_186%2E,19-01-2002 20.39
deleted_items_185%2E,20-01-2002 4.45
deleted_items_184%2E,20-01-2002 11.50
deleted_items_183%2E,20-01-2002 22.15
deleted_items_182%2E,21-01-2002 7.09
deleted_items_181%2E,21-01-2002 7.10
deleted_items_180%2E,21-01-2002 15.34
deleted_items_179%2E,22-01-2002 1.05
deleted_items_177%2E,22-01-2002 1.06
deleted_items_178%2E,22-01-2002 1.06
deleted_items_175%2E,22-01-2002 1.06
deleted_items_176%2E,22-01-2002 1.06
deleted_items_173%2E,22-01-2002 1.06
deleted_items_174%2E,22-01-2002 1.06
deleted_items_172%2E,22-01-2002 3.20
sent_items_81%2E,22-01-2002 7.25
sent_items_80%2E,22-01-2002 7.37
sent_items_79%2E,22-01-2002 7.51
sent_items_78%2E,22-01-2002 8.04
deleted_items_171%2E,22-01-2002 8.22
deleted_items_170%2E,22-01-2002 8.28
sent_items_77%2E,22-01-2002 10.02
deleted_items_169%2E,22-01-2002 10.29
deleted_items_168%2E,22-01-2002 13.04
deleted_items_167%2E,22-01-2002 13.41
deleted_items_163%2E,22-01-2002 14.38
deleted_items_166%2E,22-01-2002 15.14
deleted_items_165%2E,22-01-2002 16.18
deleted_items_164%2E,22-01-2002 19.56
deleted_items_162%2E,23-01-2002 6.36
deleted_items_161%2E,23-01-2002 8.14
sent_items_76%2E,23-01-2002 8.16
sent_items_75%2E,23-01-2002 8.17
deleted_items_160%2E,23-01-2002 8.21
sent_items_74%2E,23-01-2002 8.53
sent_items_73%2E,23-01-2002 9.40
deleted_items_159%2E,23-01-2002 9.43
sent_items_72%2E,23-01-2002 9.43
sent_items_71%2E,23-01-2002 9.44
deleted_items_158%2E,23-01-2002 10.25
deleted_items_157%2E,23-01-2002 10.44
deleted_items_156%2E,23-01-2002 12.51
deleted_items_155%2E,23-01-2002 13.02
deleted_items_154%2E,23-01-2002 15.39
deleted_items_153%2E,23-01-2002 18.10
deleted_items_152%2E,24-01-2002 6.26
sent_items_70%2E,24-01-2002 7.47
sent_items_69%2E,24-01-2002 7.51
deleted_items_151%2E,24-01-2002 7.56
sent_items_68%2E,24-01-2002 8.33
deleted_items_150%2E,24-01-2002 8.35
deleted_items_149%2E,24-01-2002 11.58
deleted_items_148%2E,24-01-2002 12.27
deleted_items_147%2E,25-01-2002 8.15
sent_items_67%2E,25-01-2002 8.51
sent_items_66%2E,25-01-2002 9.05
deleted_items_146%2E,25-01-2002 9.56
deleted_items_145%2E,25-01-2002 10.47
deleted_items_144%2E,25-01-2002 11.51
deleted_items_143%2E,25-01-2002 14.00
deleted_items_142%2E,25-01-2002 14.18
deleted_items_140%2E,25-01-2002 19.09
deleted_items_141%2E,25-01-2002 19.33
deleted_items_123%2E,25-01-2002 23.54
deleted_items_128%2E,26-01-2002 0.02
deleted_items_134%2E,26-01-2002 0.39
deleted_items_133%2E,27-01-2002 4.14
deleted_items_132%2E,28-01-2002 6.18
sent_items_65%2E,28-01-2002 7.08
sent_items_64%2E,28-01-2002 7.11
deleted_items_122%2E,28-01-2002 7.39
deleted_items_121%2E,28-01-2002 7.48
sent_items_63%2E,28-01-2002 7.50
sent_items_62%2E,28-01-2002 7.51
deleted_items_120%2E,28-01-2002 8.38
deleted_items_119%2E,28-01-2002 9.21
deleted_items_118%2E,28-01-2002 9.40
sent_items_61%2E,28-01-2002 9.45
deleted_items_117%2E,28-01-2002 13.25
deleted_items_116%2E,28-01-2002 15.42
deleted_items_115%2E,29-01-2002 6.45
deleted_items_114%2E,29-01-2002 7.25
sent_items_60%2E,29-01-2002 7.56
sent_items_59%2E,29-01-2002 7.59
sent_items_58%2E,29-01-2002 8.19
deleted_items_113%2E,29-01-2002 8.31
deleted_items_111%2E,29-01-2002 8.51
deleted_items_112%2E,29-01-2002 8.57
sent_items_57%2E,29-01-2002 9.04
sent_items_56%2E,29-01-2002 9.08
sent_items_55%2E,29-01-2002 9.54
sent_items_54%2E,29-01-2002 10.02
deleted_items_110%2E,29-01-2002 12.22
deleted_items_109%2E,29-01-2002 13.22
deleted_items_108%2E,29-01-2002 14.10
deleted_items_107%2E,29-01-2002 14.13
deleted_items_106%2E,29-01-2002 14.40
deleted_items_105%2E,29-01-2002 14.45
deleted_items_104%2E,29-01-2002 17.04
deleted_items_103%2E,30-01-2002 6.09
sent_items_53%2E,30-01-2002 7.13
deleted_items_102%2E,30-01-2002 7.23
sent_items_52%2E,30-01-2002 7.39
sent_items_51%2E,30-01-2002 7.48
sent_items_50%2E,30-01-2002 7.58
sent_items_49%2E,30-01-2002 8.00
deleted_items_101%2E,30-01-2002 8.29
deleted_items_98%2E,30-01-2002 8.48
sent_items_48%2E,30-01-2002 9.29
deleted_items_97%2E,30-01-2002 9.43
deleted_items_96%2E,30-01-2002 11.31
special_2%2E,30-01-2002 12.11
deleted_items_95%2E,30-01-2002 13.46
deleted_items_93%2E,30-01-2002 15.44
deleted_items_100%2E,30-01-2002 16.32
deleted_items_99%2E,30-01-2002 16.32
deleted_items_92%2E,30-01-2002 17.24
deleted_items_94%2E,30-01-2002 23.05
deleted_items_90%2E,31-01-2002 7.08
deleted_items_89%2E,31-01-2002 7.14
deleted_items_83%2E,31-01-2002 7.22
deleted_items_84%2E,31-01-2002 7.24
deleted_items_79%2E,31-01-2002 7.32
deleted_items_82%2E,31-01-2002 7.35
deleted_items_80%2E,31-01-2002 7.40
sent_items_47%2E,31-01-2002 7.51
deleted_items_78%2E,31-01-2002 8.02
sent_items_46%2E,31-01-2002 8.23
special_1%2E,31-01-2002 8.32
deleted_items_77%2E,31-01-2002 8.55
deleted_items_76%2E,31-01-2002 9.04
deleted_items_75%2E,31-01-2002 9.34
deleted_items_74%2E,31-01-2002 9.58
deleted_items_72%2E,31-01-2002 10.26
sent_items_45%2E,31-01-2002 11.17
sent_items_44%2E,31-01-2002 11.24
sent_items_43%2E,31-01-2002 11.29
sent_items_42%2E,31-01-2002 11.41
deleted_items_71%2E,31-01-2002 12.01
sent_items_41%2E,31-01-2002 12.52
sent_items_40%2E,31-01-2002 13.08
deleted_items_69%2E,31-01-2002 13.22
deleted_items_70%2E,31-01-2002 13.25
sent_items_39%2E,31-01-2002 13.27
deleted_items_68%2E,31-01-2002 13.50
deleted_items_91%2E,31-01-2002 13.56
deleted_items_67%2E,31-01-2002 14.54
deleted_items_88%2E,31-01-2002 15.10
deleted_items_87%2E,31-01-2002 15.11
deleted_items_66%2E,31-01-2002 15.14
deleted_items_86%2E,31-01-2002 15.16
deleted_items_85%2E,31-01-2002 15.16
deleted_items_65%2E,31-01-2002 17.17
deleted_items_73%2E,31-01-2002 18.07
deleted_items_64%2E,31-01-2002 21.46
deleted_items_63%2E,01-02-2002 7.02
sent_items_38%2E,01-02-2002 7.13
sent_items_37%2E,01-02-2002 7.15
sent_items_36%2E,01-02-2002 7.18
deleted_items_62%2E,01-02-2002 7.20
deleted_items_61%2E,01-02-2002 7.28
deleted_items_60%2E,01-02-2002 7.40
deleted_items_59%2E,01-02-2002 7.43
sent_items_35%2E,01-02-2002 7.43
sent_items_34%2E,01-02-2002 7.47
sent_items_33%2E,01-02-2002 7.57
sent_items_32%2E,01-02-2002 8.01
sent_items_31%2E,01-02-2002 8.08
sent_items_30%2E,01-02-2002 8.30
deleted_items_58%2E,01-02-2002 8.48
deleted_items_57%2E,01-02-2002 8.50
deleted_items_56%2E,01-02-2002 8.51
deleted_items_55%2E,01-02-2002 8.54
deleted_items_54%2E,01-02-2002 9.02
deleted_items_53%2E,01-02-2002 9.05
sent_items_29%2E,01-02-2002 9.11
sent_items_28%2E,01-02-2002 9.14
sent_items_27%2E,01-02-2002 9.14
sent_items_26%2E,01-02-2002 9.15
deleted_items_52%2E,01-02-2002 9.20
deleted_items_51%2E,01-02-2002 10.13
deleted_items_50%2E,01-02-2002 10.27
deleted_items_49%2E,01-02-2002 10.56
sent_items_25%2E,01-02-2002 11.04
sent_items_24%2E,01-02-2002 11.04
deleted_items_46%2E,01-02-2002 11.25
deleted_items_45%2E,01-02-2002 11.27
deleted_items_44%2E,01-02-2002 11.29
sent_items_23%2E,01-02-2002 11.32
sent_items_22%2E,01-02-2002 11.35
deleted_items_43%2E,01-02-2002 11.35
deleted_items_42%2E,01-02-2002 12.20
deleted_items_41%2E,01-02-2002 12.59
deleted_items_40%2E,01-02-2002 13.05
deleted_items_39%2E,01-02-2002 13.09
deleted_items_38%2E,01-02-2002 14.37
sent_items_21%2E,04-02-2002 7.20
sent_items_20%2E,04-02-2002 7.21
deleted_items_37%2E,04-02-2002 7.23
sent_items_19%2E,04-02-2002 7.29
deleted_items_36%2E,04-02-2002 7.40
deleted_items_34%2E,04-02-2002 7.45
deleted_items_31%2E,04-02-2002 7.55
deleted_items_30%2E,04-02-2002 8.00
sent_items_18%2E,04-02-2002 8.11
deleted_items_29%2E,04-02-2002 8.16
sent_items_17%2E,04-02-2002 8.16
deleted_items_28%2E,04-02-2002 8.17
sent_items_16%2E,04-02-2002 8.17
sent_items_15%2E,04-02-2002 8.18
deleted_items_27%2E,04-02-2002 8.31
deleted_items_26%2E,04-02-2002 8.47
sent_items_14%2E,04-02-2002 8.48
deleted_items_25%2E,04-02-2002 8.50
deleted_items_24%2E,04-02-2002 8.55
deleted_items_23%2E,04-02-2002 9.12
sent_items_13%2E,04-02-2002 9.13
deleted_items_22%2E,04-02-2002 9.18
deleted_items_21%2E,04-02-2002 10.54
deleted_items_20%2E,04-02-2002 11.04
deleted_items_19%2E,04-02-2002 13.43
deleted_items_18%2E,04-02-2002 15.40
deleted_items_17%2E,04-02-2002 16.17
deleted_items_16%2E,04-02-2002 16.56
deleted_items_15%2E,04-02-2002 17.10
deleted_items_14%2E,04-02-2002 18.51
deleted_items_13%2E,05-02-2002 8.18
deleted_items_12%2E,05-02-2002 9.06
sent_items_12%2E,05-02-2002 9.25
sent_items_11%2E,05-02-2002 9.27
deleted_items_11%2E,05-02-2002 9.44
sent_items_10%2E,05-02-2002 11.02
deleted_items_10%2E,05-02-2002 11.03
sent_items_9%2E,05-02-2002 11.10
deleted_items_9%2E,05-02-2002 11.45
sent_items_8%2E,05-02-2002 12.01
deleted_items_8%2E,05-02-2002 16.23
deleted_items_7%2E,05-02-2002 16.40
deleted_items_6%2E,06-02-2002 7.05
sent_items_7%2E,06-02-2002 7.50
sent_items_6%2E,06-02-2002 7.59
deleted_items_5%2E,06-02-2002 8.36
sent_items_5%2E,06-02-2002 8.50
sent_items_4%2E,06-02-2002 9.19
deleted_items_4%2E,06-02-2002 9.45
sent_items_3%2E,06-02-2002 10.23
deleted_items_3%2E,06-02-2002 10.29
deleted_items_2%2E,06-02-2002 10.33
sent_items_2%2E,06-02-2002 10.39
deleted_items_1%2E,06-02-2002 10.59
sent_items_1%2E,06-02-2002 11.32
inbox_14%2E,06-02-2002 11.33
inbox_13%2E,06-02-2002 11.56
inbox_11%2E,06-02-2002 12.25
inbox_12%2E,06-02-2002 12.51
inbox_10%2E,06-02-2002 13.42
inbox_9%2E,06-02-2002 14.09
inbox_8%2E,06-02-2002 14.48
inbox_7%2E,06-02-2002 15.19
inbox_6%2E,06-02-2002 15.58
inbox_5%2E,06-02-2002 16.32
inbox_4%2E,06-02-2002 16.35
inbox_3%2E,06-02-2002 18.39
inbox_2%2E,06-02-2002 19.24
inbox_1%2E,07-02-2002 6.57
deleted_items_220%2E,14-02-2002 19.04